cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
1,test,45.544293,79.443021,9,34,582363,8,30,546584,3,228,3689061,2,10,179188,1,104,381143,0,0,0,1,152,7825189,0,0,0,3,570,18712977,1,152,1708143,4,608,8690448,13,67,81224,14,72,711242,4,20,724756,0,0,0,0,0,0,63,2047,43832318
2,test,45.823051,80.050158,4,15,258828,5,19,341615,2,152,2459374,1,5,89594,2,208,762286,0,0,0,1,152,7825189,0,0,0,1,190,6237659,0,0,0,2,304,4345224,6,31,37488,6,31,304818,4,20,724756,1,3,218125,0,0,0,35,1130,23604956
3,test,44.376535,74.808150,2,7,129414,1,3,68323,1,76,1229687,1,5,89594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,2172612,2,10,12496,5,26,254015,2,10,362378,0,0,0,0,0,0,15,289,4318519
4,test,44.943038,78.419363,51,193,3300057,17,64,1161491,13,988,15985931,14,72,1254316,7,728,2668001,3,456,5365065,5,760,39125945,1,152,2082802,8,1520,49901272,11,1672,18789573,16,2432,34761792,44,228,274912,69,358,3505407,35,182,6341615,2,7,436250,0,0,0,296,9812,184954429
5,test,46.136177,77.677059,1,3,64707,1,3,68323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,2172612,1,5,6248,2,10,101606,1,5,181189,0,0,0,0,0,0,7,178,2594685
6,test,43.214847,76.329674,32,121,2070624,42,159,2869566,23,1748,28282801,4,20,358376,2,208,762286,6,912,10730130,2,304,15650378,1,152,2082802,5,950,31188295,9,1368,15373287,16,2432,34761792,41,213,256168,70,364,3556210,19,98,3442591,5,19,1090625,0,0,0,277,9068,152475931
7,test,43.480896,75.858376,8,30,517656,3,11,204969,5,380,6148435,2,10,179188,3,312,1143429,0,0,0,0,0,0,1,152,2082802,1,190,6237659,1,152,1708143,6,912,13035672,10,52,62480,24,124,1219272,6,31,1087134,0,0,0,0,0,0,70,2356,33626839
8,test,44.670484,79.795075,2,7,129414,6,22,409938,2,152,2459374,1,5,89594,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,2,304,4345224,4,20,24992,5,26,254015,6,31,1087134,0,0,0,0,0,0,30,823,10888971
9,test,43.010764,77.050015,7,26,452949,5,19,341615,3,228,3689061,2,10,179188,2,208,762286,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,4,608,8690448,8,41,49984,15,78,762045,3,15,543567,1,3,218125,0,0,0,52,1540,19105554
10,test,43.320376,76.869067,13,49,1110850,23,87,2269387,15,1140,10031040,3,15,332481,3,312,1622193,5,760,8941775,7,1064,54776323,10,1520,20828020,7,1330,43663613,6,912,12519828,7,1064,15208284,0,0,0,2,10,952064,0,0,0,7,26,1526875,0,0,0,108,8289,173782733
11,test,43.398500,80.306815,5,19,323535,8,30,546584,2,152,2459374,1,5,89594,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,4,608,8690448,8,41,49984,14,72,711242,1,5,181189,0,0,0,0,0,0,46,1340,16849379
12,test,43.109448,77.709854,8,30,517656,8,30,546584,2,152,2459374,1,5,89594,2,208,762286,0,0,0,0,0,0,2,304,4165604,0,0,0,1,152,1708143,6,912,13035672,13,67,81224,14,72,711242,4,20,724756,0,0,0,0,0,0,61,1952,24802135
13,test,44.259142,76.891545,2,7,129414,2,7,136646,1,76,1229687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190,6237659,0,0,0,2,304,4345224,4,20,24992,8,41,406424,1,5,181189,0,0,0,0,0,0,21,650,12691235
14,test,46.393773,78.479903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,50803,0,0,0,0,0,0,0,0,0,1,5,50803
15,test,43.380051,77.022123,16,60,1367200,29,110,2861401,14,1064,9362304,8,41,886616,6,624,3244386,3,456,5365065,12,1824,93902268,8,1216,16662416,8,1520,49901272,10,1520,20866380,15,2280,32589180,0,0,0,0,0,0,0,0,0,12,45,2617500,0,0,0,141,10760,239625988
16,test,46.932483,79.293999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6248,2,10,101606,0,0,0,0,0,0,0,0,0,3,15,107854
17,test,44.826388,79.114646,4,15,258828,8,30,546584,2,152,2459374,1,5,89594,1,104,381143,0,0,0,0,0,0,1,152,2082802,0,0,0,1,152,1708143,6,912,13035672,9,46,56232,19,98,965257,5,26,905945,0,0,0,0,0,0,57,1692,22489574
18,test,43.188647,76.771063,38,144,2458866,18,68,1229814,10,760,12296870,1,5,89594,5,520,1905715,2,304,3576710,3,456,23475567,2,304,4165604,5,950,31188295,4,608,6832572,21,3192,45624852,33,171,206184,86,447,4369058,20,104,3623780,0,0,0,0,0,0,248,8033,141043481
19,test,43.088659,77.003615,13,49,841191,12,45,819876,7,532,8607809,2,10,179188,2,208,762286,0,0,0,4,608,31300756,1,152,2082802,0,0,0,7,1064,11957001,6,912,13035672,18,93,112464,33,171,1676499,16,83,2899024,1,3,218125,0,0,0,122,3930,74492693
20,test,44.435116,78.382841,1,3,64707,3,11,204969,1,76,1229687,0,0,0,0,0,0,0,0,0,1,152,7825189,0,0,0,0,0,0,1,152,1708143,2,304,4345224,4,20,24992,6,31,304818,2,10,362378,0,0,0,0,0,0,21,759,16070107
21,test,45.478183,81.571975,1,3,64707,2,7,136646,1,76,1229687,0,0,0,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,2172612,3,15,18744,5,26,254015,1,5,181189,0,0,0,0,0,0,15,388,4438743
22,test,45.429087,81.778382,1,3,64707,3,11,204969,1,76,1229687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,2172612,2,10,12496,4,20,203212,1,5,181189,0,0,0,0,0,0,13,277,4068872
23,test,43.267075,76.928940,21,79,1794450,44,167,4341436,7,532,4681152,6,31,664962,10,1040,5407310,5,760,8941775,7,1064,54776323,11,1672,22910822,7,1330,43663613,20,3040,41732760,23,3496,49970076,0,0,0,2,10,952064,0,0,0,10,38,2181250,0,0,0,173,13259,242017993
24,test,43.320679,76.890987,20,76,1709000,24,91,2368056,10,760,6687360,6,31,664962,9,936,4866579,4,608,7153420,8,1216,62601512,2,304,4165604,11,2090,68614249,13,1976,27126294,13,1976,28243956,0,0,0,1,5,476032,0,0,0,10,38,2181250,0,0,0,131,10107,216858274
25,test,43.155629,77.425460,9,34,582363,8,30,546584,3,228,3689061,6,31,537564,3,312,1143429,0,0,0,1,152,7825189,0,0,0,0,0,0,1,152,1708143,8,1216,17380896,13,67,81224,14,72,711242,5,26,905945,2,7,436250,0,0,0,73,2327,35547890
26,test,43.445106,76.991588,23,87,1488261,35,133,2391305,17,1292,20904679,5,26,447970,1,104,381143,0,0,0,5,760,39125945,5,760,10414010,4,760,24950636,7,1064,11957001,15,2280,32589180,38,197,237424,68,353,3454604,19,98,3442591,4,15,872500,0,0,0,246,7929,152657249
