cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
1,test,40.075388,72.114971,62,235,4011834,0,0,0,0,0,0,41,213,3673354,26,2704,9909718,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,444,2308,2774112,1,5,50803,0,0,0,0,0,0,0,0,0,575,5617,22127964
2,test,39.996802,70.992709,19,72,1229433,0,0,0,0,0,0,41,213,3673354,8,832,3049144,0,0,0,0,0,0,0,0,0,0,0,0,3,456,5124429,0,0,0,196,1019,1224608,1,5,50803,0,0,0,0,0,0,0,0,0,268,2597,14351771
3,test,40.023269,72.287382,1,3,64707,0,0,0,0,0,0,1,5,89594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,43736,0,0,0,0,0,0,0,0,0,0,0,0,9,44,198037
4,test,39.909974,71.639913,22,83,1423554,0,0,0,3,228,3689061,55,286,4927670,11,1144,4192573,0,0,0,0,0,0,0,0,0,0,0,0,3,456,5124429,0,0,0,271,1409,1693208,0,0,0,0,0,0,0,0,0,0,0,0,365,3606,21050495
5,test,40.209594,71.031087,52,197,3364764,1,3,68323,0,0,0,135,702,12095190,26,2704,9909718,0,0,0,0,0,0,0,0,0,0,0,0,4,608,6832572,0,0,0,492,2558,3074016,1,5,50803,0,0,0,0,0,0,0,0,0,711,6777,35395386
6,test,39.460288,70.852475,10,38,647070,0,0,0,0,0,0,14,72,1254316,5,520,1905715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,384,462352,0,0,0,0,0,0,0,0,0,0,0,0,103,1014,4269453
7,test,40.047957,70.201126,32,121,2070624,0,0,0,0,0,0,67,348,6002798,15,1560,5717145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,1211,1455784,0,0,0,0,0,0,0,0,0,0,0,0,347,3240,15246351
8,test,40.142530,70.036801,13,49,841191,0,0,0,0,0,0,27,140,2419038,5,520,1905715,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,110,572,687280,0,0,0,0,0,0,0,0,0,0,0,0,156,1433,7561367
9,test,40.209064,72.053154,30,114,1941210,1,3,68323,6,456,7378122,195,1014,17470830,19,1976,7241717,0,0,0,0,0,0,0,0,0,0,0,0,9,1368,15373287,0,0,0,1079,5610,6741592,14,72,711242,0,0,0,0,0,0,0,0,0,1353,10613,56926323
10,test,39.689401,70.108160,27,102,1747089,1,3,68323,1,76,1229687,96,499,8601024,14,1456,5336002,0,0,0,0,0,0,0,0,0,0,0,0,6,912,10248858,0,0,0,376,1955,2349248,1,5,50803,0,0,0,0,0,0,0,0,0,522,5008,29631034
11,test,39.839293,69.656257,90,342,5823630,0,0,0,6,456,7378122,194,1008,17381236,54,5616,20581722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,3598,4323616,51,265,2590953,0,0,0,0,0,0,0,0,0,1087,11285,58079279
12,test,40.008857,70.826968,91,345,5888337,1,3,68323,0,0,0,355,1846,31805870,38,3952,14483434,0,0,0,0,0,0,0,0,0,0,0,0,9,1368,15373287,0,0,0,2357,12256,14726536,8,41,406424,0,0,0,0,0,0,0,0,0,2859,19811,82752211
13,test,39.625852,69.998882,23,87,1488261,0,0,0,0,0,0,26,135,2329444,7,728,2668001,0,0,0,0,0,0,0,0,0,0,0,0,6,912,10248858,0,0,0,288,1497,1799424,5,26,254015,0,0,0,0,0,0,0,0,0,355,3385,18788003
14,test,39.749784,71.181560,33,125,2135331,0,0,0,0,0,0,29,150,2598226,9,936,3430287,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,0,0,0,176,915,1099648,1,5,50803,0,0,0,0,0,0,0,0,0,250,2435,12730581
15,test,39.676136,72.003324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,test,39.615841,69.530989,24,91,1552968,0,0,0,0,0,0,63,327,5644422,18,1872,6860574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,1575,1893144,2,10,101606,0,0,0,0,0,0,0,0,0,410,3875,16052714
17,test,39.579325,70.773479,18,68,1164726,1,3,68323,0,0,0,27,140,2419038,6,624,2286858,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,105,546,656040,1,5,50803,0,0,0,0,0,0,0,0,0,159,1538,8353931
18,test,39.981144,71.238841,162,615,10482534,4,15,273292,0,0,0,160,832,14335040,36,3744,13721148,0,0,0,0,0,0,0,0,0,0,0,0,17,2584,29038431,0,0,0,940,4888,5873120,3,15,152409,0,0,0,0,0,0,0,0,0,1322,12693,73875974
