cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
1,test,38.540981,68.848833,0,0,0,0,0,0,16,1216,10699776,1,5,110827,0,0,0,1,152,1788355,0,0,0,2,304,4165604,4,760,24950636,47,7144,98071986,0,0,0,124,644,765576,0,0,0,0,0,0,0,0,0,0,0,0,195,10225,140552760
2,test,38.623347,68.798379,152,577,9835464,99,376,6763977,11,836,13526557,106,551,9496964,13,1352,4954859,5,760,8941775,0,0,0,0,0,0,0,0,0,14,2128,23914002,6,912,13035672,61,317,381128,3,15,152409,0,0,0,8,30,1745000,2,60,281882,480,7914,93029689
3,test,38.510491,68.694101,0,0,0,0,0,0,1,76,668736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,456,6259914,0,0,0,8,41,49392,0,0,0,0,0,0,0,0,0,0,0,0,12,573,6978042
4,test,38.516518,68.740597,34,129,2905300,0,0,0,109,8284,72892224,66,343,7314582,23,2392,12436813,4,608,7153420,23,3496,179979347,6,912,12496812,2,380,12475318,46,6992,95985348,0,0,0,407,2116,2512818,2,10,952064,0,0,0,11,41,2399375,1,76,359488,734,25779,409862909
5,test,38.624097,68.767096,0,0,0,0,0,0,48,3648,32099328,6,31,664962,0,0,0,1,152,1788355,0,0,0,1,152,2082802,13,2470,81089567,101,15352,210750438,0,0,0,268,1393,1654632,0,0,0,0,0,0,7,26,1526875,0,0,0,445,23224,331656959
6,test,38.595457,68.754341,45,171,3845250,0,0,0,90,6840,60186240,54,280,5984658,2,208,1081462,6,912,10730130,3,456,23475567,11,1672,22910822,0,0,0,60,9120,125198280,0,0,0,319,1658,1969506,1,5,476032,0,0,0,24,91,5235000,0,0,0,615,21413,261092947
7,test,38.575992,68.757345,27,102,2307150,0,0,0,60,4560,40124160,38,197,4211426,5,520,2703655,15,2280,26825325,2,304,15650378,16,2432,33324832,4,760,24950636,12,1824,25039656,1,152,2172612,208,1081,1284192,0,0,0,0,0,0,9,34,1963125,0,0,0,397,14246,180557147
8,test,38.538446,68.767026,7,26,598150,0,0,0,15,1140,10031040,25,130,2770675,4,416,2162924,1,152,1788355,1,152,7825189,6,912,12496812,0,0,0,12,1824,25039656,1,152,2172612,76,395,469224,0,0,0,0,0,0,1,3,218125,0,0,0,149,5302,65572762
9,test,38.567207,68.791270,21,79,1794450,0,0,0,69,5244,46142784,70,364,7757890,7,728,3785117,2,304,3576710,7,1064,54776323,5,760,10414010,3,570,18712977,21,3192,43819398,2,304,4345224,107,556,660618,5,26,2380160,4,20,724756,11,41,2399375,0,0,0,334,13252,201289792
10,test,38.606301,68.790592,0,0,0,0,0,0,17,1292,11368512,2,10,221654,0,0,0,0,0,0,0,0,0,1,152,2082802,3,570,18712977,63,9576,131458194,0,0,0,150,780,926100,0,0,0,0,0,0,1,3,218125,0,0,0,237,12383,164988364
11,test,38.560067,68.852029,0,0,0,0,0,0,25,1900,16718400,3,15,332481,0,0,0,0,0,0,0,0,0,2,304,4165604,8,1520,49901272,32,4864,66772416,0,0,0,115,598,710010,0,0,0,0,0,0,0,0,0,0,0,0,185,9201,138600183
12,test,38.531611,68.727288,69,262,5896050,0,0,0,64,4864,42799104,148,769,16402396,5,520,2703655,20,3040,35767100,0,0,0,8,1216,16662416,3,570,18712977,86,13072,179450868,1,152,2172612,440,2288,2716560,0,0,0,0,0,0,2,7,436250,0,0,0,846,26760,323719988
