cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
1,test,37.412902,60.545082,6,22,512700,7,26,690683,7,532,4681152,5,26,554135,4,416,2162924,1,152,1788355,7,1064,54776323,0,0,0,0,0,0,8,1216,16693104,0,0,0,2,10,12348,1,5,476032,0,0,0,1,3,218125,0,0,0,49,3472,82565881
2,test,37.999540,58.400548,11,41,939950,26,98,2565394,13,988,8693568,9,46,997443,9,936,4866579,6,912,10730130,17,2584,133028213,0,0,0,0,0,0,18,2736,37559484,0,0,0,5,26,30870,2,10,952064,0,0,0,1,3,218125,0,0,0,117,8380,200581820
3,test,37.367360,60.529788,5,19,427250,6,22,592014,5,380,3343680,2,10,221654,6,624,3244386,3,456,5365065,5,760,39125945,0,0,0,0,0,0,6,912,12519828,0,0,0,4,20,24696,3,15,1428096,0,0,0,0,0,0,0,0,0,45,3218,66292614
4,test,37.878235,58.827987,13,49,841191,1,3,68323,0,0,0,9,46,806346,1,104,381143,2,304,3576710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,291,349888,0,0,0,0,0,0,0,0,0,0,0,0,82,797,6023601
5,test,38.046385,58.297439,2,7,170900,4,15,394676,2,152,1337472,2,10,221654,1,104,540731,2,304,3576710,3,456,23475567,0,0,0,0,0,0,4,608,8346552,0,0,0,2,10,12348,1,5,476032,0,0,0,0,0,0,0,0,0,23,1671,38552642
6,test,38.094858,57.990770,2,7,129414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,31240,0,0,0,0,0,0,0,0,0,0,0,0,7,33,160654
7,test,38.550940,57.757162,7,26,452949,0,0,0,0,0,0,1,5,89594,1,104,381143,1,152,1788355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,119,143704,1,5,50803,0,0,0,0,0,0,0,0,0,34,411,2906548
8,test,38.202039,57.966385,4,15,341800,9,34,888021,2,152,1337472,4,20,443308,4,416,2162924,2,304,3576710,6,912,46951134,0,0,0,0,0,0,7,1064,14606466,0,0,0,1,5,6174,1,5,476032,0,0,0,0,0,0,0,0,0,40,2927,70790041
9,test,37.992128,58.236289,5,19,427250,10,38,986690,9,684,6018624,6,31,664962,7,728,3785117,5,760,8941775,5,760,39125945,0,0,0,0,0,0,10,1520,20866380,0,0,0,4,20,24696,2,10,952064,0,0,0,1,3,218125,0,0,0,64,4573,82011628
10,test,37.347071,61.126095,32,121,2070624,1,3,68323,5,380,6148435,7,36,627158,3,312,1143429,3,456,5365065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,608,731016,3,15,152409,0,0,0,0,0,0,0,0,0,171,1931,16306459
