cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
1,test,45.544293,79.443021,14,53,905898,1,3,68323,0,0,0,0,0,0,1,104,381143,0,0,0,0,0,0,2,304,4165604,1,190,6237659,0,0,0,6,912,13035672,19,98,118712,30,156,1524090,6,31,1087134,0,0,0,0,0,0,80,1851,27524235
2,test,45.823051,80.050158,1,3,64707,0,0,0,0,0,0,7,36,627158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,760,8540715,1,152,2172612,8,41,49984,22,114,1117666,0,0,0,0,0,0,0,0,0,44,1106,12572842
3,test,44.376535,74.808150,3,11,194121,1,3,68323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190,6237659,1,152,1708143,1,152,2172612,1,5,6248,9,46,457227,3,15,543567,0,0,0,0,0,0,20,574,11387900
4,test,44.943038,78.419363,48,182,3105936,50,190,3416150,5,380,6148435,0,0,0,0,0,0,0,0,0,1,152,7825189,0,0,0,0,0,0,22,3344,37579146,28,4256,60833136,6,31,37488,117,608,5943951,87,452,15763443,0,0,0,0,0,0,364,9595,140652874
5,test,46.136177,77.677059,0,0,0,1,3,68323,1,76,1229687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6248,5,26,254015,1,5,181189,0,0,0,0,0,0,9,115,1739462
6,test,43.214847,76.329674,9,34,582363,56,212,3826088,30,2280,36890610,56,291,5017264,1,104,381143,0,0,0,1,152,7825189,0,0,0,0,0,0,2,304,3416286,31,4712,67350972,68,353,424864,33,171,1676499,61,317,11052529,0,0,0,0,0,0,348,8930,138443807
7,test,43.480896,75.858376,13,49,841191,12,45,819876,0,0,0,15,78,1343910,10,1040,3811430,0,0,0,0,0,0,0,0,0,1,190,6237659,1,152,1708143,3,456,6517836,10,52,62480,21,109,1066863,1,5,181189,0,0,0,0,0,0,87,2176,22590577
8,test,44.670484,79.795075,1,3,64707,3,11,204969,0,0,0,0,0,0,0,0,0,0,0,0,2,304,15650378,0,0,0,0,0,0,3,456,5124429,1,152,2172612,5,26,31240,18,93,914454,7,36,1268323,0,0,0,0,0,0,40,1081,25431112
9,test,43.010764,77.050015,6,22,388242,0,0,0,4,304,4918748,27,140,2419038,1,104,381143,0,0,0,2,304,15650378,0,0,0,0,0,0,0,0,0,4,608,8690448,7,36,43736,13,67,660439,1,5,181189,0,0,0,0,0,0,65,1590,33333361
10,test,43.320376,76.869067,14,53,1196300,20,76,1973380,25,1900,16718400,9,46,997443,1,104,540731,0,0,0,5,760,39125945,2,304,4165604,2,380,12475318,2,304,4173276,29,4408,63005748,0,0,0,0,0,0,0,0,0,12,45,2617500,0,0,0,121,8380,146989645
11,test,43.398500,80.306815,7,26,452949,7,26,478261,0,0,0,0,0,0,4,416,1524572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,760,10863060,4,20,24992,21,109,1066863,10,52,1811890,0,0,0,0,0,0,58,1409,16222587
12,test,43.109448,77.709854,1,3,64707,13,49,888199,0,0,0,0,0,0,4,416,1524572,0,0,0,1,152,7825189,1,152,2082802,5,950,31188295,0,0,0,0,0,0,4,20,24992,45,234,2286135,7,36,1268323,0,0,0,0,0,0,81,2012,47153214
13,test,44.259142,76.891545,7,26,452949,2,7,136646,2,152,2459374,1,5,89594,0,0,0,0,0,0,1,152,7825189,0,0,0,0,0,0,1,152,1708143,1,152,2172612,2,10,12496,11,57,558833,1,5,181189,1,3,218125,0,0,0,30,721,15815150
14,test,46.393773,78.479903,1,3,64707,1,3,68323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6248,0,0,0,0,0,0,0,0,0,0,0,0,3,11,139278
15,test,43.380051,77.022123,2,7,170900,39,148,3848091,12,912,8024832,12,62,1329924,3,312,1622193,2,304,3576710,3,456,23475567,8,1216,16662416,13,2470,81089567,13,1976,27126294,19,2888,41279628,10,52,61740,0,0,0,0,0,0,17,64,3708125,0,0,0,153,10867,211975987
16,test,46.932483,79.293999,1,3,64707,0,0,0,0,0,0,1,5,89594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,2172612,1,5,6248,2,10,101606,0,0,0,1,3,218125,0,0,0,7,178,2652892
17,test,44.826388,79.114646,2,7,129414,22,83,1503106,2,152,2459374,0,0,0,0,0,0,0,0,0,0,0,0,7,1064,14579614,0,0,0,0,0,0,3,456,6517836,1,5,6248,33,171,1676499,3,15,543567,0,0,0,0,0,0,73,1953,27415658
18,test,43.188647,76.771063,12,45,776484,7,26,478261,28,2128,34431236,0,0,0,12,1248,4573716,0,0,0,0,0,0,3,456,6248406,7,1330,43663613,0,0,0,11,1672,23898732,58,301,362384,50,260,2540150,120,624,21742680,0,0,0,0,0,0,308,8090,138715662
19,test,43.088659,77.003615,34,129,2200038,10,38,683230,1,76,1229687,5,26,447970,8,832,3049144,0,0,0,1,152,7825189,2,304,4165604,0,0,0,0,0,0,13,1976,28243956,20,104,124960,54,280,2743362,4,20,724756,0,0,0,0,0,0,152,3937,51437896
20,test,44.435116,78.382841,3,11,194121,1,3,68323,1,76,1229687,5,26,447970,0,0,0,3,456,5365065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,37488,8,41,406424,1,5,181189,0,0,0,0,0,0,28,649,7930267
21,test,45.478183,81.571975,4,15,258828,2,7,136646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,304,4345224,3,15,18744,7,36,355621,2,10,362378,0,0,0,0,0,0,20,387,5477441
22,test,45.429087,81.778382,1,3,64707,9,34,614907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,304,4345224,1,5,6248,3,15,152409,0,0,0,1,3,218125,0,0,0,17,364,5401620
23,test,43.267075,76.928940,27,102,2307150,28,106,2762732,28,2128,18724608,0,0,0,7,728,3785117,0,0,0,3,456,23475567,8,1216,16662416,4,760,24950636,29,4408,60512502,21,3192,45624852,2,10,12348,0,0,0,0,0,0,29,110,6325625,0,0,0,186,13216,205143553
24,test,43.320679,76.890987,13,49,1110850,23,87,2269387,6,456,4012416,24,124,2659848,19,1976,10273889,0,0,0,27,4104,211280103,0,0,0,2,380,12475318,6,912,12519828,13,1976,28243956,8,41,49392,0,0,0,0,0,0,2,7,436250,0,0,0,143,10112,285331237
25,test,43.155629,77.425460,1,3,64707,24,91,1639752,0,0,0,1,5,89594,14,1456,5336002,1,152,1788355,0,0,0,0,0,0,0,0,0,0,0,0,2,304,4345224,10,52,62480,38,197,1930514,1,5,181189,0,0,0,0,0,0,92,2265,15437817
26,test,43.445106,76.991588,47,178,3041229,51,193,3484473,10,760,12296870,2,10,179188,25,2600,9528575,1,152,1788355,1,152,7825189,0,0,0,0,0,0,0,0,0,21,3192,45624852,36,187,224928,114,592,5791542,9,46,1630701,0,0,0,0,0,0,317,8062,91415902
27,test,43.281810,76.835108,21,79,1794450,19,72,1874711,40,3040,26749440,1,5,110827,6,624,3244386,2,304,3576710,4,608,31300756,12,1824,24993624,3,570,18712977,5,760,10433190,10,1520,21726120,0,0,0,4,20,1904128,0,0,0,8,30,1745000,0,0,0,135,9456,148166319
28,test,43.497363,77.392167,20,76,1294140,44,167,3006212,53,4028,65173411,5,26,447970,0,0,0,0,0,0,2,304,15650378,0,0,0,0,0,0,1,152,1708143,24,3648,52142688,31,161,193688,155,806,7874465,50,260,9059450,0,0,0,0,0,0,385,9628,156550545
29,test,45.488480,75.340507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6248,3,15,152409,0,0,0,0,0,0,0,0,0,4,20,158657
30,test,45.552309,75.784173,1,3,64707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12496,1,5,50803,0,0,0,0,0,0,0,0,0,4,18,128006
31,test,45.428935,75.592830,0,0,0,0,0,0,1,76,1229687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12496,1,5,50803,0,0,0,0,0,0,0,0,0,4,91,1292986
32,test,44.170772,79.501048,5,19,323535,1,3,68323,0,0,0,0,0,0,0,0,0,2,304,3576710,3,456,23475567,0,0,0,2,380,12475318,0,0,0,1,152,2172612,18,93,112464,28,145,1422484,1,5,181189,0,0,0,0,0,0,61,1557,43808202
