cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
1,test,40.075388,72.114971,7,26,452949,0,0,0,0,0,0,332,1726,29745208,19,1976,7241717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,1773,2130568,10,52,508030,0,0,0,0,0,0,0,0,0,709,5553,40078472
2,test,39.996802,70.992709,38,144,2458866,0,0,0,0,0,0,37,192,3314978,8,832,3049144,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,246,1279,1537008,0,0,0,0,0,0,0,0,0,0,0,0,330,2599,12068139
3,test,40.023269,72.287382,0,0,0,0,0,0,0,0,0,4,20,358376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,49984,0,0,0,0,0,0,0,0,0,0,0,0,12,61,408360
4,test,39.909974,71.639913,103,391,6664821,0,0,0,0,0,0,44,228,3942136,12,1248,4573716,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,297,1544,1855656,0,0,0,0,0,0,0,0,0,0,0,0,457,3563,18744472
5,test,40.209594,71.031087,169,642,10935483,0,0,0,0,0,0,169,878,15141386,24,2496,9147432,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,520,2704,3248960,0,0,0,0,0,0,0,0,0,0,0,0,883,6872,40181404
6,test,39.460288,70.852475,2,7,129414,0,0,0,0,0,0,11,57,985534,3,312,1143429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,577,693528,0,0,0,0,0,0,0,0,0,0,0,0,127,953,2951905
7,test,40.047957,70.201126,13,49,841191,0,0,0,0,0,0,85,442,7615490,11,1144,4192573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,1638,1968120,0,0,0,0,0,0,0,0,0,0,0,0,424,3273,14617374
8,test,40.142530,70.036801,36,136,2329452,0,0,0,0,0,0,15,78,1343910,4,416,1524572,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,140,728,874720,0,0,0,0,0,0,0,0,0,0,0,0,196,1510,7780797
9,test,40.209064,72.053154,10,38,647070,0,0,0,27,2052,33201549,120,624,10751280,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,1466,7623,9159568,0,0,0,0,0,0,0,0,0,0,0,0,1625,10593,55848753
10,test,39.689401,70.108160,50,190,3235350,0,0,0,0,0,0,8,41,716752,12,1248,4573716,0,0,0,0,0,0,0,0,0,0,0,0,3,456,5124429,0,0,0,568,2953,3548864,0,0,0,0,0,0,0,0,0,0,0,0,641,4888,17199111
11,test,39.839293,69.656257,33,125,2135331,0,0,0,0,0,0,257,1336,23025658,54,5616,20581722,0,0,0,0,0,0,0,0,0,0,0,0,5,760,8540715,0,0,0,566,2943,3536368,96,499,4877088,0,0,0,0,0,0,0,0,0,1011,11279,62696882
12,test,40.008857,70.826968,17,64,1100019,0,0,0,0,0,0,379,1970,33956126,10,1040,3811430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3224,16764,20143552,0,0,0,0,0,0,0,0,0,0,0,0,3630,19838,59011127
13,test,39.625852,69.998882,6,22,388242,0,0,0,0,0,0,61,317,5465234,10,1040,3811430,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,361,1877,2255528,0,0,0,0,0,0,0,0,0,0,0,0,439,3408,13628577
14,test,39.749784,71.181560,14,53,905898,0,0,0,0,0,0,21,109,1881474,8,832,3049144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,1398,1680712,0,0,0,0,0,0,0,0,0,0,0,0,312,2392,7517228
15,test,39.676136,72.003324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6248,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6248
16,test,39.615841,69.530989,43,163,2782401,0,0,0,0,0,0,84,436,7525896,14,1456,5336002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,1835,2205544,0,0,0,0,0,0,0,0,0,0,0,0,494,3890,17849843
17,test,39.579325,70.773479,22,83,1423554,0,0,0,0,0,0,11,57,985534,5,520,1905715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,821,987184,2,10,101606,0,0,0,0,0,0,0,0,0,198,1491,5403593
18,test,39.981144,71.238841,225,855,14559075,0,0,0,0,0,0,685,3562,61371890,7,728,2668001,0,0,0,0,0,0,0,0,0,0,0,0,27,4104,46119861,0,0,0,678,3525,4236144,0,0,0,0,0,0,0,0,0,0,0,0,1622,12774,128954971
19,test,40.245946,72.125273,31,117,2005917,0,0,0,0,0,0,168,873,15051792,93,9672,35446299,0,0,0,0,0,0,0,0,0,0,0,0,26,3952,44411718,0,0,0,522,2714,3261456,0,0,0,0,0,0,0,0,0,0,0,0,840,17328,100177182
20,test,39.897136,69.384449,29,110,1876503,0,0,0,0,0,0,128,665,11468032,20,2080,7622860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,3224,3873760,0,0,0,0,0,0,0,0,0,0,0,0,797,6079,24841155
21,test,40.110211,71.305853,32,121,2070624,0,0,0,0,0,0,52,270,4658888,11,1144,4192573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,1705,2049344,0,0,0,0,0,0,0,0,0,0,0,0,423,3240,12971429
