cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
1,test,38.540981,68.848833,0,0,0,0,0,0,2,152,1337472,1,5,110827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9120,125198280,0,0,0,168,873,1037232,0,0,0,0,0,0,0,0,0,0,0,0,231,10150,127683811
2,test,38.623347,68.798379,303,1151,19606221,124,471,8472052,24,1824,29512488,95,494,8511430,0,0,0,15,2280,26825325,0,0,0,0,0,0,0,0,0,6,912,10248858,2,304,4345224,68,353,424864,0,0,0,0,0,0,0,0,0,10,304,1409410,647,8093,109355872
3,test,38.510491,68.694101,0,0,0,0,0,0,1,76,668736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,608,8346552,0,0,0,10,52,61740,0,0,0,0,0,0,0,0,0,0,0,0,15,736,9077028
4,test,38.516518,68.740597,15,57,1281750,0,0,0,179,13604,119703744,154,800,17067358,10,1040,5407310,3,456,5365065,0,0,0,0,0,0,0,0,0,59,8968,123111642,0,0,0,186,967,1148364,0,0,0,0,0,0,0,0,0,0,0,0,606,25892,273085233
5,test,38.624097,68.767096,0,0,0,0,0,0,40,3040,26749440,2,10,221654,0,0,0,0,0,0,0,0,0,0,0,0,36,6840,224555724,76,11552,158584488,0,0,0,358,1861,2210292,0,0,0,0,0,0,0,0,0,0,0,0,512,23303,412321598
6,test,38.595457,68.754341,183,695,15637350,0,0,0,96,7296,64198656,15,78,1662405,4,416,2162924,1,152,1788355,0,0,0,14,2128,29159228,4,760,24950636,58,8816,121025004,0,0,0,228,1185,1407672,1,5,476032,0,0,0,1,3,218125,0,0,0,605,21534,262686387
7,test,38.575992,68.757345,23,87,1965350,0,0,0,32,2432,21399552,42,218,4654734,1,104,540731,10,1520,17883550,1,152,7825189,50,7600,104140100,0,0,0,7,1064,14606466,0,0,0,162,842,1000188,0,0,0,0,0,0,14,53,3053750,0,0,0,342,14072,177069610
8,test,38.538446,68.767026,3,11,256350,0,0,0,6,456,4012416,15,78,1662405,0,0,0,0,0,0,0,0,0,9,1368,18745218,1,190,6237659,19,2888,39646122,0,0,0,67,348,413658,0,0,0,0,0,0,0,0,0,0,0,0,120,5339,70973828
9,test,38.567207,68.791270,10,38,854500,0,0,0,99,7524,66204864,98,509,10861046,13,1352,7029503,1,152,1788355,2,304,15650378,5,760,10414010,1,190,6237659,15,2280,31299570,0,0,0,36,187,222264,10,52,4760320,1,5,181189,1,3,218125,0,0,0,292,13356,155721783
10,test,38.606301,68.790592,0,0,0,0,0,0,7,532,4681152,1,5,110827,0,0,0,0,0,0,0,0,0,0,0,0,18,3420,112277862,49,7448,102245262,0,0,0,210,1092,1296540,0,0,0,0,0,0,0,0,0,0,0,0,285,12497,220611643
11,test,38.560067,68.852029,0,0,0,0,0,0,9,684,6018624,1,5,110827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,7144,98071986,0,0,0,255,1326,1574370,0,0,0,0,0,0,0,0,0,0,0,0,312,9159,105775807
12,test,38.531611,68.727288,11,41,939950,0,0,0,89,6764,59517504,87,452,9641949,2,208,1081462,21,3192,37555455,0,0,0,7,1064,14579614,0,0,0,67,10184,139804746,1,152,2172612,888,4617,5482512,0,0,0,0,0,0,0,0,0,0,0,0,1173,26674,270775804
13,test,38.531157,68.681918,0,0,0,0,0,0,9,684,6018624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190,6237659,11,1672,22953018,0,0,0,40,208,246960,0,0,0,0,0,0,0,0,0,0,0,0,61,2754,35456261
14,test,38.587208,68.711080,0,0,0,0,0,0,3,228,2006208,0,0,0,0,0,0,6,912,10730130,0,0,0,0,0,0,0,0,0,120,18240,250396560,0,0,0,46,239,284004,0,0,0,0,0,0,0,0,0,0,0,0,175,19619,263416902
15,test,38.533006,68.829292,0,0,0,0,0,0,11,836,7356096,0,0,0,0,0,0,9,1368,16095195,0,0,0,0,0,0,4,760,24950636,8,1216,16693104,0,0,0,66,343,407484,0,0,0,0,0,0,4,15,872500,0,0,0,102,4538,66375015
16,test,38.539971,68.811283,2,7,129414,0,0,0,0,0,0,1,5,89594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,56232,0,0,0,0,0,0,0,0,0,0,0,0,12,58,275240
17,test,38.597349,68.815137,184,699,11906088,149,566,10180127,35,2660,43039045,41,213,3673354,9,936,3430287,1,152,1788355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,218,262416,0,0,0,0,0,0,0,0,0,0,0,0,461,5444,74279672
18,test,38.560711,68.758429,2,7,170900,0,0,0,62,4712,41461632,13,67,1440751,0,0,0,4,608,7153420,0,0,0,0,0,0,0,0,0,65,9880,135631470,0,0,0,111,577,685314,2,10,952064,0,0,0,1,3,218125,0,0,0,260,15864,187713676
19,test,38.599741,68.735637,0,0,0,0,0,0,16,1216,10699776,2,10,221654,0,0,0,0,0,0,0,0,0,0,0,0,45,8550,280694655,70,10640,146064660,0,0,0,182,946,1123668,0,0,0,0,0,0,18,68,3926250,0,0,0,333,21430,442730663
20,test,38.502949,68.730301,0,0,0,0,0,0,4,304,2674944,2,10,221654,0,0,0,3,456,5365065,0,0,0,0,0,0,0,0,0,43,6536,89725434,0,0,0,127,660,784098,0,0,0,0,0,0,0,0,0,0,0,0,179,7966,98771195
21,test,38.561900,68.783466,89,338,7605050,0,0,0,64,4864,42799104,44,228,4876388,12,1248,6488772,1,152,1788355,0,0,0,0,0,0,1,190,6237659,33,5016,68859054,0,0,0,152,790,938448,1,5,476032,0,0,0,0,0,0,0,0,0,397,12831,140068862
22,test,38.580609,68.839800,111,421,7182477,84,319,5739132,1,76,1229687,12,62,1075128,2,208,762286,1,152,1788355,0,0,0,0,0,0,0,0,0,18,2736,30746574,0,0,0,155,806,968440,1,5,50803,0,0,0,2,7,436250,0,0,0,387,4792,49979132
23,test,38.573939,68.821140,41,155,3503450,0,0,0,5,380,3343680,6,31,664962,0,0,0,0,0,0,0,0,0,5,760,10414010,0,0,0,12,1824,25039656,0,0,0,505,2626,3117870,0,0,0,0,0,0,0,0,0,0,0,0,574,5776,46083628
24,test,38.563867,68.706875,0,0,0,0,0,0,11,836,7356096,9,46,997443,0,0,0,0,0,0,0,0,0,0,0,0,14,2660,87327226,30,4560,62599140,0,0,0,133,691,821142,0,0,0,0,0,0,0,0,0,0,0,0,197,8793,159101047
25,test,38.563566,68.773503,18,68,1538100,0,0,0,79,6004,52830144,14,72,1551578,1,104,540731,6,912,10730130,12,1824,93902268,1,152,2082802,0,0,0,15,2280,31299570,0,0,0,321,1669,1981854,0,0,0,0,0,0,16,60,3490000,0,0,0,483,13145,199947177
26,test,38.569620,68.729163,0,0,0,0,0,0,61,4636,40792896,46,239,5098042,0,0,0,0,0,0,2,304,15650378,0,0,0,0,0,0,85,12920,177364230,0,0,0,327,1700,2018898,0,0,0,0,0,0,0,0,0,0,0,0,521,19799,240924444
27,test,38.556248,68.812167,10,38,854500,0,0,0,53,4028,35443008,149,774,16513223,0,0,0,0,0,0,0,0,0,1,152,2082802,26,4940,162179134,39,5928,81378882,27,4104,58660524,477,2480,2944998,0,0,0,0,0,0,0,0,0,0,0,0,782,22444,360057071
28,test,38.548388,68.778376,23,87,1965350,0,0,0,118,8968,78910848,5,26,554135,0,0,0,0,0,0,0,0,0,4,608,8331208,0,0,0,4,608,8346552,0,0,0,275,1430,1697850,2,10,952064,4,20,724756,0,0,0,4,304,1437952,439,12061,102920715
29,test,38.540404,68.773348,0,0,0,0,0,0,3,228,2006208,2,10,221654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,37044,0,0,0,0,0,0,0,0,0,0,0,0,11,269,2264906
30,test,38.549938,68.727436,143,543,12219350,0,0,0,67,5092,44805312,177,920,19616379,0,0,0,41,6232,73322555,0,0,0,0,0,0,0,0,0,54,8208,112678452,0,0,0,559,2906,3451266,0,0,0,0,0,0,1,3,218125,0,0,0,1042,23904,266311439
31,test,38.586337,68.781004,85,323,7263250,0,0,0,45,3420,30093120,91,473,10085257,4,416,2162924,0,0,0,0,0,0,4,608,8331208,5,950,31188295,43,6536,89725434,0,0,0,206,1071,1271844,25,130,11900800,0,0,0,0,0,0,0,0,0,508,13927,192022132
32,test,38.534680,68.757202,108,410,9228600,0,0,0,42,3192,28086912,105,546,11636835,12,1248,6488772,1,152,1788355,0,0,0,5,760,10414010,0,0,0,34,5168,70945692,7,1064,15208284,1296,6739,8001504,0,0,0,0,0,0,0,0,0,0,0,0,1610,19279,161798964
