cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
1,test,40.745414,72.124715,870,3306,56295090,218,828,14894414,0,0,0,97,504,8690618,16,1664,6098288,64,9728,114454720,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,129,670,805992,0,0,0,0,0,0,40,152,8725000,41,1246,5778581,1476,18250,217450846
2,test,40.688135,71.886476,857,3256,55453899,333,1265,22751559,2,152,2459374,59,306,5286046,96,9984,36589728,5,760,8941775,0,0,0,7,1064,14579614,0,0,0,2,304,3416286,0,0,0,61,317,381128,0,0,0,0,0,0,0,0,0,0,0,0,1422,17408,149859409
3,test,40.832466,71.944782,23,87,1488261,0,0,0,10,760,12296870,311,1617,27863734,45,4680,17151435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,8382,10071776,0,0,0,0,0,0,0,0,0,0,0,0,2001,15526,68872076
4,test,40.641135,71.844122,12,45,776484,0,0,0,0,0,0,24,124,2150256,7,728,2668001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,1300,1562000,0,0,0,0,0,0,0,0,0,0,0,0,293,2197,7156741
5,test,40.712936,72.308751,597,2268,51013650,9,34,888021,0,0,0,39,202,4322253,103,10712,55695293,3,456,5365065,0,0,0,0,0,0,0,0,0,25,3800,52165950,0,0,0,231,1201,1426194,0,0,0,0,0,0,0,0,0,9,684,3235392,1016,19357,174111818
6,test,40.670568,72.073334,456,1732,38965200,14,53,1381366,1,76,668736,11,57,1219097,26,2704,14059006,52,7904,92994460,0,0,0,0,0,0,0,0,0,0,0,0,28,4256,60833136,557,2896,3438918,0,0,0,0,0,0,0,0,0,14,1064,5032832,1159,20742,218592751
7,test,40.945141,72.412466,114,433,7376598,0,0,0,0,0,0,133,691,11916002,2,208,762286,0,0,0,0,0,0,0,0,0,0,0,0,32,4864,54660576,0,0,0,1551,8065,9690648,0,0,0,0,0,0,0,0,0,0,0,0,1832,14261,84406110
8,test,40.768640,72.371613,341,1295,29138450,335,1273,33054115,5,380,3343680,9,46,997443,167,17368,90302077,0,0,0,0,0,0,0,0,0,0,0,0,8,1216,16693104,25,3800,54315300,620,3224,3827880,0,0,0,0,0,0,0,0,0,0,0,0,1510,28602,231672049
9,test,40.591636,72.200518,302,1147,19541514,439,1668,29993797,0,0,0,154,800,13797476,0,0,0,55,8360,98359525,0,0,0,0,0,0,0,0,0,0,0,0,21,3192,45624852,462,2402,2886576,0,0,0,0,0,0,118,448,25738750,49,1489,6906109,1600,19506,242848599
10,test,40.711517,72.093719,975,3705,83313750,69,262,6808161,0,0,0,112,582,12412624,51,5304,27577281,43,6536,76899265,0,0,0,0,0,0,0,0,0,15,2280,31299570,0,0,0,83,431,512442,0,0,0,0,0,0,0,0,0,115,8740,41341120,1463,27840,280164213
11,test,40.656995,72.242088,360,1368,30762000,643,2443,63444167,0,0,0,5,26,554135,91,9464,49206521,2,304,3576710,0,0,0,0,0,0,0,0,0,44,6688,91812072,30,4560,65178360,167,868,1031058,0,0,0,0,0,0,1,3,218125,0,0,0,1343,25724,305783148
12,test,40.689525,72.199287,246,934,21020700,133,505,13122977,0,0,0,241,1253,26709307,25,2600,13518275,7,1064,12518485,0,0,0,0,0,0,0,0,0,85,12920,177364230,0,0,0,407,2116,2512818,0,0,0,0,0,0,0,0,0,0,0,0,1144,21392,266766792
13,test,40.750357,72.316918,353,1341,30163850,47,178,4637443,83,6308,55505088,153,795,16956531,0,0,0,59,8968,105512945,0,0,0,0,0,0,0,0,0,14,2128,29212932,0,0,0,486,2527,3000564,0,0,0,0,0,0,0,0,0,1,76,359488,1196,22321,245348841
14,test,40.686595,72.355148,91,345,5888337,0,0,0,0,0,0,150,780,13439100,36,3744,13721148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,5330,6404200,0,0,0,0,0,0,0,0,0,0,0,0,1302,10199,39452785
15,test,40.866142,72.361288,319,1212,20641533,664,2523,45366472,38,2888,46728106,78,405,6988332,22,2288,8385146,2,304,3576710,0,0,0,0,0,0,0,0,0,0,0,0,42,6384,91249704,362,1882,2261776,0,0,0,0,0,0,7,26,1526875,33,1003,4651053,1567,18915,231375707
16,test,40.901887,72.281658,818,3108,52930326,347,1318,23708081,5,380,6148435,32,166,2867008,0,0,0,95,14440,169893725,0,0,0,0,0,0,0,0,0,5,760,8540715,0,0,0,588,3057,3673824,6,31,304818,0,0,0,20,76,4362500,1,30,140941,1917,23366,272570373
